canton,tenencia,fuente_agua,inodoro
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,otro,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Pozo séptico
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,otro,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Pozo séptico
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,otro,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Pozo séptico
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Pozo séptico
